title,authors,genre,cover,average_rating,ratings_count,summary,,num_pages,published_year,subtitle,isbn10,isbn13
Mythology,Alex Ross,Art,http://books.google.com/books/content?id=h6fzEpSYR-kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.32,1960,"Celebrates the talents of DC Comics artist Alex Ross in a collection of his drawings, never-before-seen sketches, limited edition prints, and other artwork, all reproduced in full color, accompanied by a study of Ross's creative process, a new Superman-Batman story, and a new Robin origin story. Reprint. 50,000 first printing.",,320,2005,The DC Comics Art of Alex Ross,375714626,9780375714627
The Classical Drawing Atelier,Juliette Aristides,Art,http://books.google.com/books/content?id=dDRQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.11,3553,The works of Old Masters and today's most respected realist artists are used to demonstrate and teach the principles of realist drawing and painting in this comprehensive art course for serious art students.,,160,2006,A Contemporary Guide to Traditional Studio Practice,823006573,9780823006571
Paul Revere's Ride,David Hackett Fischer,Art,http://books.google.com/books/content?id=Ny6if53o9hwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.11,3651,"Discusses the events leading up to Paul Revere's ride, and reinforces his importance in the history of the Revolutionary War",,464,1995,,195098315,9780195098310
The Marriage of Heaven and Hell,William Blake,Art,http://books.google.com/books/content?id=nt4Bwy6LDrwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.24,6894,This vivid facsimile of Blake's romantic and revolutionary publication offers a concise expression of his essential wisdom and philosophy. His distinctive hand-lettered text is accompanied by 27 color plates of his stirring illustrations.,,48,1994,In Full Color,486281221,9780486281223
J.R.R. Tolkien,Wayne G. Hammond;Christina Scull,Art,http://books.google.com/books/content?id=DiU0zVedmA8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,8087,"A collection of more than two-hundred reproductions of Tolkien's drawings, sketches, and paintings explores his career as an artist.",,224,2000,Artist & Illustrator,618083618,9780618083619
The Lord of the Rings Sketchbook,Alan Lee,Art,http://books.google.com/books/content?id=JUdOAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27,9593,A large-format collection of drawings and paintings culled from the illustrated edition of the Lord of the Rings and the recent film trilogy includes more than 150 illustrations from the author as well as twenty full-color plates made for Peter Jackson's production company.,,192,2005,,618640142,9780618640140
The Story of Philosophy,Will Durant,Biography & Autobiography,http://books.google.com/books/content?id=PXIg5EOsbIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.11,10039,"Examines the history of speculative thought by focusing on such dominant personalities as Plato, Bacon, Spinoza, Kant, Schopenhauer, and Nietzsche",,704,1991,,671739166,9780671739164
Henry VIII,Alison Weir,Biography & Autobiography,http://books.google.com/books/content?id=eh7Ylw4rPAAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,10137,"Examines the king's remarkable influence on the laws, customs, culture, and politics of his kingdom and profiles the diverse courtiers, artists, and scholars who surrounded Henry VIII.",,642,2002,The King and His Court,034543708X,9780345437082
The Great Shark Hunt,Hunter S. Thompson,Biography & Autobiography,http://books.google.com/books/content?id=tESC9BnR85cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.08,10747,"Brings together a selection of the legendary American journalist's articles on subjects ranging from the Super Bowl to Watergate, from Hemingway to Brando, and from sharks to drugs.",,624,2003,Strange Tales from a Strange Time,743250451,9780743250450
The Children of Henry VIII,Alison Weir,Biography & Autobiography,http://books.google.com/books/content?id=rKiCmOGUcbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,10834,Recounts the lives of Henry VIII's heirs and the intrigues that arose from their struggle to ascend their father's throne,,385,1997,,345407865,9780345407863
